@relation Advertisment

@attribute width numeric
@attribute height numeric
@attribute iframe string
@attribute google string
@attribute ad string
@attribute ads string
@attribute aswift string
@attribute insert string
@attribute doubleclick string
@attribute content string
@attribute uploads string
@attribute cdn string
@attribute news string
@attribute image string
@attribute targetvalue {AD,NonAD}
@attribute frameOrimage {iframe,image}

@data
?,63,?,?,?,?,?,?,?,?,?,?,news,image,NonAD,image
466,1085,?,?,ad,ads,?,?,?,content,uploads,cdn,?,?,NonAD,image
45,100,?,?,?,?,?,?,?,?,?,?,?,image,NonAD,image
180,280,?,?,ad,ads,?,?,?,content,uploads,?,?,?,NonAD,image
196,314,?,?,ad,ads,?,?,?,content,uploads,cdn,?,?,NonAD,image
60,80,?,?,?,?,?,?,?,?,?,?,?,?,NonAD,image
90,90,?,?,?,?,?,?,?,?,?,?,?,?,NonAD,image
196,314,?,?,ad,ads,?,?,?,content,uploads,cdn,?,?,NonAD,image
100,300,?,?,ad,ads,?,?,?,content,uploads,cdn,?,?,NonAD,image
75,100,?,?,?,?,?,?,?,?,?,?,news,image,NonAD,image
75,92,?,?,?,?,?,?,?,content,?,?,?,image,NonAD,image
75,100,?,?,?,?,?,?,?,?,?,?,news,image,NonAD,image
90,90,?,?,?,?,?,?,?,?,?,?,?,?,NonAD,image
15,60,?,?,?,?,?,?,?,?,?,?,?,image,NonAD,image
90,90,?,?,?,?,?,?,?,?,?,?,?,?,NonAD,image
60,80,?,?,?,?,?,?,?,?,?,?,?,?,NonAD,image
38,132,?,?,?,?,?,?,?,?,?,?,?,?,NonAD,image
60,80,?,?,?,?,?,?,?,?,?,?,?,?,NonAD,image
100,300,?,?,ad,ads,?,?,?,content,uploads,cdn,?,?,NonAD,image
196,314,?,?,ad,ads,?,?,?,content,uploads,cdn,?,?,NonAD,image
15,61,?,?,?,?,?,?,?,?,?,?,?,image,NonAD,image
75,100,?,?,?,?,?,?,?,?,?,?,news,image,NonAD,image
15,61,?,?,?,?,?,?,?,?,?,?,?,image,NonAD,image
15,61,?,?,?,?,?,?,?,?,?,?,?,image,NonAD,image
13,94,?,?,?,?,?,?,?,?,?,?,news,image,NonAD,image
21,107,?,?,?,?,?,?,?,?,?,?,?,image,NonAD,image
196,314,?,?,ad,ads,?,?,?,content,uploads,cdn,?,?,NonAD,image
210,320,?,?,ad,ads,?,?,?,content,uploads,cdn,?,?,NonAD,image
196,314,?,?,ad,ads,?,?,?,content,uploads,cdn,?,?,NonAD,image
