@relation Advertisment

@attribute width numeric
@attribute height numeric
@attribute iframe {iframe,Noniframe}
@attribute google {google,Nongoogle}
@attribute embed {embed,Nonembed}
@attribute ads {ads,Nonads}
@attribute aswift {aswift,Nonaswift}
@attribute autolayout {autolayout,Nonautolayout}
@attribute doubleclick {doubleclick,Nondoubleclick}
@attribute redirect {redirect,Nonredirect}
@attribute banner {banner,Nonbanner}
@attribute content {content,Noncontent}
@attribute upload {upload,Nonupload}
@attribute news {news,Nonnews}
@attribute image {image,Nonimage}
@attribute staticlayout {staticlayout,Nonstaticlayout}
@attribute icon {icon,Nonicon}
@attribute photo {photo,Nonphoto}
@attribute home {home,Nonhome}
@attribute frameOrimage {iframe,image}
@attribute targetvalue {AD,NonAD}

@data
220,115,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
728,90,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,redirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,AD
65,21,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,icon,Nonphoto,Nonhome,image,NonAD
65,21,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,icon,Nonphoto,Nonhome,image,NonAD
65,21,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,news,image,Nonstaticlayout,icon,Nonphoto,Nonhome,image,NonAD
65,21,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,icon,Nonphoto,Nonhome,image,NonAD
65,21,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,icon,Nonphoto,Nonhome,image,NonAD
65,21,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,icon,Nonphoto,Nonhome,image,NonAD
21,21,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,icon,Nonphoto,Nonhome,image,NonAD
32,21,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
445,297,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,banner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
222,148,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
222,148,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
222,148,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
222,148,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
222,148,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
222,148,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
222,148,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
222,148,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
333,70,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
333,70,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
333,70,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
333,70,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
333,70,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
333,70,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
333,70,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
333,70,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
333,70,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
333,70,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
333,70,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
333,70,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
333,70,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
333,70,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
333,70,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
333,70,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
333,70,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
333,70,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
650,366,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
20,20,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,icon,Nonphoto,Nonhome,image,NonAD
650,366,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
20,20,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,icon,Nonphoto,Nonhome,image,NonAD
650,366,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
20,20,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,icon,Nonphoto,Nonhome,image,NonAD
650,366,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
20,20,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,icon,Nonphoto,Nonhome,image,NonAD
